Time        | File Name                                               
0m06.84s    | Specific/montgomery32_2e256m2e32m977/femul              
0m06.84s    | Specific/solinas64_2e256m2e224p2e192p2e96m1/Synthesis   
0m06.84s    | Specific/montgomery32_2e256m2e32m977/feopp              
0m06.76s    | Specific/montgomery32_2e256m2e32m977/feadd              
0m06.74s    | Specific/montgomery32_2e256m2e32m977/fesub              
0m06.67s    | Specific/solinas32_2e165m25/fesquare                    
0m06.57s    | Specific/solinas64_2e213m3/Synthesis                    
0m06.52s    | Specific/solinas64_2e198m17/Synthesis                   
0m06.46s    | Specific/solinas64_2e205m45x2e198m1/fesquare            
0m06.45s    | Specific/solinas64_2e194m33/Synthesis                   
0m06.27s    | Specific/solinas64_2e189m25/Synthesis                   
0m05.95s    | Specific/solinas32_2e174m17/fesquare                    
0m05.92s    | Specific/solinas32_2e165m25/freeze                      
0m05.89s    | Specific/solinas64_2e205m45x2e198m1/Synthesis           
0m05.86s    | Specific/solinas32_2e171m19/freeze                      
0m05.76s    | Specific/solinas32_2e129m25/Synthesis                   
0m05.74s    | Specific/solinas64_2e255m2e4m2e1m1/Synthesis            
0m05.74s    | Specific/solinas32_2e171m19/fesquare                    
0m05.66s    | Specific/solinas32_2e150m3/Synthesis                    
0m05.66s    | Specific/solinas32_2e165m25/femul                       
0m05.62s    | Specific/solinas64_2e221m3/Synthesis                    
0m05.61s    | Specific/solinas32_2e171m19/femul                       
0m05.61s    | Specific/solinas64_2e230m27/Synthesis                   
0m05.58s    | Specific/solinas64_2e226m5/Synthesis                    
0m05.47s    | Specific/solinas32_2e127m1/Synthesis                    
0m05.45s    | Specific/solinas64_2e235m15/Synthesis                   
0m05.36s    | Specific/solinas64_2e191m19/Synthesis                   
0m05.30s    | Specific/solinas64_2e216m2e108m1/Synthesis              
0m05.21s    | Specific/solinas64_2e206m5/Synthesis                    
0m05.18s    | Specific/solinas64_2e196m15/Synthesis                   
0m05.16s    | Specific/solinas64_2e190m11/Synthesis                   
0m05.04s    | Compilers/Z/CNotations                                  
0m05.01s    | Specific/solinas64_2e171m19/Synthesis                   
0m04.59s    | Compilers/Z/HexNotationConstants                        
0m04.24s    | Specific/solinas64_2e174m17/Synthesis                   
0m04.21s    | Specific/solinas64_2e192m2e64m1/Synthesis               
0m04.21s    | Specific/solinas64_2e166m5/Synthesis                    
0m04.19s    | Specific/solinas64_2e130m5/Synthesis                    
0m04.19s    | Specific/solinas64_2e165m25/Synthesis                   
